indice_medicamento,nregistro,nombre_medicamento,tipo_imagen,url,fichero,estado,error
18,79696,ACECLOFENACO STADA 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/79696/79696_materialas.jpg,imagenes/aceclofenaco_stada_100_mg_comprimidos_recubiertos_con_pelicu__79696__materialas__0035.jpg,descargada,
18,79696,ACECLOFENACO STADA 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/79696/79696_formafarmac.jpg,imagenes/aceclofenaco_stada_100_mg_comprimidos_recubiertos_con_pelicu__79696__formafarmac__0036.jpg,descargada,
19,64658,"ACEOTO PLUS 3 mg/ml + 0,25 mg/ml GOTAS ÓTICAS EN SOLUCIÓN",materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/64658/64658_materialas.jpg,imagenes/aceoto_plus_3_mg_ml_0_25_mg_ml_gotas_oticas_en_solucion__64658__materialas__0037.jpg,descargada,
19,64658,"ACEOTO PLUS 3 mg/ml + 0,25 mg/ml GOTAS ÓTICAS EN SOLUCIÓN",formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/64658/64658_formafarmac.jpg,imagenes/aceoto_plus_3_mg_ml_0_25_mg_ml_gotas_oticas_en_solucion__64658__formafarmac__0038.jpg,descargada,
20,61791,ACEOTO 3 MG/ML GOTAS ÓTICAS EN SOLUCIÓN,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/61791/61791_materialas.jpg,imagenes/aceoto_3_mg_ml_gotas_oticas_en_solucion__61791__materialas__0039.jpg,descargada,
20,61791,ACEOTO 3 MG/ML GOTAS ÓTICAS EN SOLUCIÓN,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/61791/61791_formafarmac.jpg,imagenes/aceoto_3_mg_ml_gotas_oticas_en_solucion__61791__formafarmac__0040.jpg,descargada,
21,62389,ACETILCISTEÍNA BEXAL 200 mg POLVO PARA SOLUCIÓN ORAL EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62389/62389_materialas.jpg,imagenes/acetilcisteina_bexal_200_mg_polvo_para_solucion_oral_efg__62389__materialas__0041.jpg,descargada,
21,62389,ACETILCISTEÍNA BEXAL 200 mg POLVO PARA SOLUCIÓN ORAL EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/62389/62389_formafarmac.jpg,imagenes/acetilcisteina_bexal_200_mg_polvo_para_solucion_oral_efg__62389__formafarmac__0042.jpg,descargada,
22,62390,ACETILCISTEÍNA BEXAL 600 mg COMPRIMIDOS EFERVESCENTES EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62390/62390_materialas.jpg,imagenes/acetilcisteina_bexal_600_mg_comprimidos_efervescentes_efg__62390__materialas__0043.jpg,descargada,
22,62390,ACETILCISTEÍNA BEXAL 600 mg COMPRIMIDOS EFERVESCENTES EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/62390/62390_formafarmac.jpg,imagenes/acetilcisteina_bexal_600_mg_comprimidos_efervescentes_efg__62390__formafarmac__0044.jpg,descargada,
