atc3_codigo,num_medicamentos,ejemplo_1,ejemplo_2,ejemplo_3,ejemplo_4,ejemplo_5
J07B,40,ABRYSVO POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,AREXVY POLVO Y SUSPENSION PARA SUSPENSION INYECTABLE,CERVARIX SUSPENSION INYECTABLE EN JERINGA PRECARGADA,"ENGERIX- B JUNIOR 10 microgramos/0,5 ml, SUSPENSIÓN INYECTABLE EN JERINGA PRECARGADA","ENGERIX- B 20 microgramos/1 ml, SUSPENSIÓN INYECTABLE EN JERINGA PRECARGADA"
L01A,38,ALKERAN 2 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,"BENDAMUSTINA BAXTER 2,5 MG/ML POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG","BENDAMUSTINA DR. REDDYS 2,5 MG/ML POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG","BENDAMUSTINA GLENMARK 2,5 MG/ML POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG",BUSULFANO ASPEN 2 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
R03D,38,DAXAS 250 MICROGRAMOS COMPRIMIDOS,DAXAS 500 MICROGRAMOS COMPRIMIDOS RECUBIERTOS CON PELICULA,FASENRA 30 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA,FASENRA 30 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA,MONTELUKAST CINFA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
D07A,37,ADVENTAN 1 mg/g CREMA,ADVENTAN 1 mg/g EMULSION CUTANEA,ADVENTAN 1 mg/g UNGÜENTO,"BATMEN 2,5 MG/G CREMA","BATMEN 2,5 MG/G POMADA"
L03A,37,"AVONEX 30 microgramos/0,5 ml SOLUCION INYECTABLE EN PLUMA PRECARGADA","BETAFERON 250 microgramos/ml, POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE",COPAXONE 40 MG/ML SOLUCION INYECTABLE EN JERINGA PRECARGADA,GLATIRAMERO VIATRIS 40 MG/ML SOLUCION INYECTABLE EN JERINGA PRECARGADA,NEULASTA 6 mg SOLUCION INYECTABLE
A11C,35,AUXINA A MASIVA 50.000 UI CAPSULAS BLANDAS,COLECALCIFEROL NORMON 10.000 UI/ML GOTAS ORALES EN SOLUCIÓN,"COLECALCIFEROL NORMON 25.000 UI/2,5 ML SOLUCIÓN ORAL",COLECALCIFEROL ROVI 30000 UI COMPRIMIDOS RECUBIERTOS CON PELICULA,"DEVIK 25.000 UI/2,5 ML SOLUCION ORAL"
A10A,34,ACTRAPID 100 UI/ML SOLUCION INYECTABLE EN UN VIAL,FIASP 100 UNIDADES/ML FLEXTOUCH SOLUCION INYECTABLE EN PLUMA PRECARGADA,FIASP 100 UNIDADES/ML PENFILL SOLUCION INYECTABLE EN CARTUCHO,FIASP 100 UNIDADES/ML PUMPCART SOLUCION INYECTABLE EN CARTUCHO,FIASP 100 UNIDADES/ML SOLUCION INYECTABLE EN VIAL
A16A,33,ORFADIN 10 mg CAPSULAS DURAS,ORFADIN 2 mg CAPSULAS DURAS,ORFADIN 20 mg CAPSULAS DURAS,ORFADIN 4 mg/ml SUSPENSION ORAL,ORFADIN 5 mg CAPSULAS DURAS
R05D,32,ANGITUSS 6MG/ML JARABE,"BISOLVON ANTITUSIVO COMPOSITUM 3 mg/ml + 1,5 mg/ml SOLUCION ORAL",BISOLVON ANTITUSIVO 2 mg/ ml JARABE,CINFATOS ANTITUSIVO FLAS 15 MG COMPRIMIDOS BUCODISPERSABLES,CINFATOS ANTITUSIVO INFANTIL 1 mg / ml SOLUCION ORAL
C02C,32,CARDURAN NEO 4 mg COMPRIMIDOS DE LIBERACION MODIFICADA,CARDURAN NEO 8 mg COMPRIMIDOS DE LIBERACION MODIFICADA,DOXAZOSINA CINFA 2 mg COMPRIMIDOS EFG,DOXAZOSINA CINFA 4 mg COMPRIMIDOS EFG,DOXAZOSINA NEO CINFA 4 MG COMPRIMIDOS DE LIBERACIÓN PROLONGADA EFG
C02K,31,ADEMPAS 1 mg comprimidos recubiertos con pelicula,"ADEMPAS 1,5 mg comprimidos recubiertos con pelicula",ADEMPAS 2 mg comprimidos recubiertos con pelicula,"ADEMPAS 2,5 mg comprimidos recubiertos con pelicula",AMBRISENTAN KERN PHARMA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
H01A,31,GENOTONORM KABIPEN 12 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,"GENOTONORM KABIPEN 5,3 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","GENOTONORM MINIQUICK 0,2 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","GENOTONORM MINIQUICK 0,4 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","GENOTONORM MINIQUICK 0,6 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE"
A07E,29,ASACOL 1 G SUPOSITORIOS,ASACOL 1.600 MG COMPRIMIDOS GASTRORRESISTENTES,ASACOL 400 mg COMPRIMIDOS GASTRORRESISTENTES,ASACOL 800 MG COMPRIMIDOS GASTRORRESISTENTES,CLIPPER 5 mg COMPRIMIDOS GASTRORRESISTENTES DE LIBERACION PROLONGADA
H05B,29,CINACALCET NORMON 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,CINACALCET NORMON 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,CINACALCET NORMON 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,CINACALCET STADA 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,CINACALCET STADA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
C03C,29,FUROSEMIDA CINFA 40 mg COMPRIMIDOS EFG,FUROSEMIDA PHYSAN 20mg/2ml SOLUCIÓN INYECTABLE EFG,FUROSEMIDA SANDOZ 40 mg COMPRIMIDOS EFG,FUROSEMIDA UXA 40 MG COMPRIMIDOS EFG,TORASEMIDA CINFA 10 mg COMPRIMIDOS EFG
C01C,29,"NORADRENALINA B. BRAUN 0,5 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION","ADRENALINA AGUETTANT 0,1 MG/ML SOLUCION INYECTABLE EN JERINGA PRECARGADA",ADRENALINA B. BRAUN 1 mg/ml SOLUCION INYECTABLE,ADRENALINA BASI 1 MG/ML SOLUCIÓN INYECTABLE,ADRENALINA BRADEX 1 MG/ML SOLUCION INYECTABLE
N01A,28,DIPRIVAN 20 mg/ml EMULSION PARA PERFUSION,KETOLAR 50 mg/ml SOLUCION INYECTABLE,PROPOFOL BAXTER 10MG/ML EMULSION INYECTABLE Y PARA PERFUSION EFG,PROPOFOL BAXTER 20MG/ML EMULSION INYECTABLE Y PARA PERFUSION EFG,PROPOFOL LIPURO 10 mg/ml EMULSIÓN INYECTABLE Y PARA PERFUSIÓN
S01B,25,ACULAR 5 mg/ml COLIRIO EN SOLUCION,COLIRCUSI DEXAMETASONA 1 mg/ml colirio en solución,DEXAFREE 1 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS,DICLOABAK 1 mg/ml COLIRIO EN SOLUCION,DICLOFENACO ABAMED 1 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS
A04A,25,APREPITANT SANDOZ 125 MG CAPSULAS DURAS EFG/APREPITANT SANDOZ 80 MG CAPSULAS DURAS EFG,EMEND 125 MG CAPSULAS DURAS/EMEND 80 MG CAPSULAS DURAS,IVEMEND 150 MG POLVO PARA SOLUCION PARA PERFUSION,ONDANSETRON NORMON 4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ONDANSETRON NORMON 8 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
A12A,25,CALCIO/VITAMINA D3 ROVI 1000 mg/880 UI COMPRIMIDOS EFERVESCENTES,CALCIO/VITAMINA D3 ROVI 500 MG/1000 UI COMPRIMIDOS MASTICABLES,CALCIO/VITAMINA D3 SANDOZ 1000 MG/ 880 UI COMPRIMIDOS MASTICABLES,ADIAVAL 1.000 MG/880 UI COMPRIMIDOS MASTICABLES EFG,BONESIL D FLAS 1500 mg/400 UI COMPRIMIDOS BUCODISPERSABLES
G03C,24,"BOLTIN 2,5 mg COMPRIMIDOS","DUAVIVE 0,45 MG/20 MG COMPRIMIDOS DE LIBERACION MODIFICADA",ESTRADIOL MERIESTRA 2 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,"ESTRADOT 25 microgramos/24 HORAS, PARCHE TRANSDERMICO","ESTRADOT 37,5 microgramos/24 HORAS, PARCHE TRANSDERMICO"
D06B,23,ACICLOVIR NORMON 50 mg/g CREMA EFG,ACICLOVIR SANDOZ CARE 50 MG/G CREMA,ACICLOVIR STADA 50 MG/G CREMA,LAVIRK 50 MG/G GEL,SILVEDERMA 10 mg/g CREMA
G01A,23,CLOTRIMAZOL GINE-CANESMED 20 MG/G CREMA VAGINAL EFG,DALACIN 100 mg OVULOS,DALACIN 20 mg/g CREMA VAGINAL,GINE-CANESTEN 100 mg COMPRIMIDOS VAGINALES,GINE-CANESTEN 100 mg/g CREMA VAGINAL
S01G,22,"ALERGOFTAL 0,25 mg/ml+ 5 mg/ml COLIRIO EN SOLUCION","AZELASTINA ABAMED 0,5 MG/ML COLIRIO EN SOLUCION","BENTIFEN 0,25mg/ml COLIRIO EN SOLUCION","BILINA 0,5 mg/ml COLIRIO EN SUSPENSIÓN","CENTILUX 0,25 mg/ml COLIRIO EN SOLUCION"
R05X,22,COUGHGRIP 300MG/15MG/2MG POLVO PARA SOLUCION ORAL,DESENFRIOL C GRANULADO EFERVESCENTE,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL,PHARMAFREN 200 MG/30 MG CAPSULAS DURAS,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL
C08D,22,DILTIAZEM RETARD STADA 200 MG CAPSULAS DURAS DE LIBERACION PROLONGADA EFG,DILTIAZEM RETARD STADA 300 MG CAPSULAS DURAS DE LIBERACION PROLONGADA EFG,DILTIAZEM SANDOZ 60 mg COMPRIMIDOS EFG,DILTIAZEM STADA 60 mg COMPRIMIDOS EFG,DINISOR RETARD 120 mg COMPRIMIDOS LIBERACION MODIFICADA
B03A,21,CARBOXIMALTOSA FERRICA SANDOZ 50 MG/ML DISPERSION INYECTABLE Y PARA PERFUSION EFG,KILOR 40 mg COMPRIMIDOS SOLUBLES,KILOR 40 MG GRANULADO PARA SOLUCION ORAL,KILOR 80 MG GRANULADO PARA SOLUCION ORAL,LACTOFERRINA 40 MG SOLUCIÓN ORAL
N07C,20,BETAHISTINA CINFA 16 mg COMPRIMIDOS EFG,BETAHISTINA CINFA 8 mg COMPRIMIDOS EFG,BETAHISTINA NORMON 16 mg COMPRIMIDOS EFG,BETAHISTINA NORMON 24 MG COMPRIMIDOS,BETAHISTINA NORMON 8 mg COMPRIMIDOS EFG
H03A,20,EUTIROX 100 microgramos COMPRIMIDOS,EUTIROX 112 microgramos COMPRIMIDOS,EUTIROX 125 microgramos COMPRIMIDOS,EUTIROX 137 microgramos COMPRIMIDOS,EUTIROX 150 microgramos COMPRIMIDOS
M03A,19,BOCOUTURE 100 UNIDADES POLVO PARA SOLUCION INYECTABLE,BOCOUTURE 50 UNIDADES POLVO PARA SOLUCION INYECTABLE,"BOTOX 100 UNIDADES ALLERGAN, POLVO PARA SOLUCIÓN INYECTABLE","BOTOX 200 UNIDADES ALLERGAN, POLVO PARA SOLUCIÓN INYECTABLE","BOTOX 50 UNIDADES ALLERGAN, POLVO PARA SOLUCIÓN INYECTABLE"
C01D,19,DERMATRANS 10 mg/24 H PARCHE TRANSDERMICO,DERMATRANS 15 mg/24 H PARCHE TRANSDERMICO,DERMATRANS 5 mg/24 H PARCHE TRANSDERMICO,MONONITRATO DE ISOSORBIDA NORMON 20 mg COMPRIMIDOS EFG,MONONITRATO DE ISOSORBIDA NORMON 40 mg COMPRIMIDOS EFG
H01C,19,"OCTREOTIDA GP-PHARM 0,1 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION EFG","OCTREOTIDA GP-PHARM 0,5 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION EFG","OCTREOTIDA GP-PHARM 1 mg /5 ml (0,2 mg/ml) SOLUCION INYECTABLE Y PARA PERFUSION EFG","ORGALUTRAN 0,25 MG/0,5 ML SOLUCION INYECTABLE","ORGALUTRAN 0,25 MG/0,5 ML SOLUCION INYECTABLE"
B05D,19,"BALANCE 1,5 % GLUCOSA, 1,25 mmol/L DE CALCIO, SOLUCION PARA DIALISIS PERITONEAL","BALANCE 1,5 % GLUCOSA, 1,75 mmol/L DE CALCIO, SOLUCION PARA DIALISIS PERITONEAL","BALANCE 2,3 % GLUCOSA, 1,25 mmol/L DE CALCIO, SOLUCION PARA DIALISIS PERITONEAL","BALANCE 2,3 % GLUCOSA, 1,75 mmol/L DE CALCIO, SOLUCION PARA DIALISIS PERITONEAL","BALANCE 4,25 % GLUCOSA, 1,25 mmol/L DE CALCIO, SOLUCION PARA DIALISIS PERITONEAL"
B05X,18,CERNEVIT POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN,ACETATO DE POTASIO B.BRAUN 1 mEq/ml CONCENTRADO PARA SOLUCION PARA PERFUSION,BICARBONATO SODICO 1M GRIFOLS SOLUCION INYECTABLE,CALRECIA 100 MMOL/L SOLUCION PARA PERFUSION,CARDI-BRAUN MANTENIMIENTO SOLUCION PARA PERFUSION
D10B,18,ACNEMIN 10 MG CAPSULAS BLANDAS EFG,ACNEMIN 20 MG CAPSULAS BLANDAS EFG,DERCUTANE 10 mg CAPSULAS BLANDAS,DERCUTANE 20 mg CAPSULAS BLANDAS,DERCUTANE 30 MG CAPSULAS BLANDAS
R07A,18,CUROSURF 120,CUROSURF 240,EQUINACEA ARKOPHARMA cápsulas duras,"INOMAX 400 PPM MOL, GAS COMPRIMIDO MEDICINAL","INOMAX 400 PPM MOL, GAS COMPRIMIDO MEDICINAL"
S01A,17,"AZYDROP 15mg/g, COLIRIO EN SOLUCION EN ENVASE UNIDOSIS",EXOCIN 3 MG/ML COLIRIO EN SOLUCION,OFTACILOX 3 mg/g POMADA OFTALMICA,OFTACILOX 3 mg/ml COLIRIO EN SOLUCION,OFTALMOLOSA CUSI AUREOMICINA 5 mg/g POMADA OFTÁLMICA
C03A,17,HIDROCLOROTIAZIDA SANDOZ 25 MG COMPRIMIDOS EFG,HIDROCLOROTIAZIDA STADA 50 mg COMPRIMIDOS EFG,HIDROSALURETIL 25 MG COMPRIMIDOS EFG,HIDROSALURETIL 50 mg COMPRIMIDOS EFG,DRINE 50 MG COMPRIMIDOS
J07A,16,BEXSERO SUSPENSION INYECTABLE EN JERINGA PRECARGADA,BOOSTRIX SUSPENSION INYECTABLE EN JERINGA PRECARGADA,DIFTAVAX SUSPENSION INYECTABLE EN JERINGA PRECARGADA,HIBERIX POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,MENJUGATE 10 MICROGRAMOS SUSPENSION INYECTABLE JERINGA PRECARGADA
H01B,16,CARBETOCINA GP-PHARM 100 MICROGRAMOS SOLUCION INYECTABLE EN JERINGA PRECARGADA,DESMOPRESINA SANDOZ 120 MICROGRAMOS COMPRIMIDOS SUBLINGUALES EFG,DESMOPRESINA STADA 120 MICROGRAMOS COMPRIMIDOS SUBLINGUALES EFG,DURATOBAL 100 microgramos/ml SOLUCION INYECTABLE,GLYPRESSIN 1mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
D10A,16,CLINWAS 10 MG/G GEL,CLINWAS 10 MG/ML SOLUCIÓN PARA PULVERIZACIÓN CUTÁNEA,DUAC 10 MG/G + 30 MG/G GEL,DUAC 10 MG/G +50 MG/G GEL,FINACEA 150 mg/g GEL
S01X,15,"ACUOLENS 3 mg/ml + 5,5 mg/ml COLIRIO EN SOLUCION EN ENVASE UNIDOSIS","ARTIFIC 3,20 mg/ml COLIRIO EN SOLUCION","ARTIFIC 3,20 mg/ml COLIRIO EN SOLUCION EN ENVASE UNIDOSIS",CARMELOSA STADA 5 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS,COLIRCUSI ANTIEDEMA 50 MG/ML COLIRIO EN SOLUCIÓN
A02A,15,"ALKA-SELTZER 2,1 g COMPRIMIDOS EFERVESCENTES","ALMAGATO STADAPHARM 1,5 G SUSPENSION ORAL",ALMAGATO STADAPHARM 500 MG COMPRIMIDOS MASTICABLES,MAGNESIA CINFA 200 mg/ ml SUSPENSION ORAL,RENNIE 680 MG/80 MG COMPRIMIDOS MASTICABLES CON SACARINA
A03A,15,COLPERMIN 187 MG CAPSULAS DURAS GASTRORRESISTENTES,IBEROGAST GOTAS ORALES EN SOLUCION,OTILONIO CINFA 40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,SPASMOCTYL PEDIATRICO,SPASMOCTYL 40
L02A,15,ELIGARD SEMESTRAL 45 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,"ELIGARD TRIMESTRAL 22,5 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","GONAPEPTYL DEPOT 3,75 mg POLVO Y DISOLVENTE PARA SUSPENSION INYECTABLE",LEPTOPROL TRIMESTRAL 5 MG IMPLANTE EN JERINGA PRECARGADA,"LEUPRORELINA GP-PHARM DEPOT TRIMESTRAL 22,5 MG POLVO Y DISOLVENTE PARA SUSPENSION DE LIBERACION PROLONGADA INYECTABLE"
D07C,14,CELESTODERM 1 mg/g + 1 mg/g CREMA,"DIPROGENTA 0,5 mg/g + 1 mg/g crema",FUCIBET 20 mg/g + 1 mg/g CREMA,"FUCIDINE H, 20 mg/g + 10 mg/g CREMA","MENADERM NEOMICINA 0,25 mg/ 7,2 mg/ g CREMA"
G02C,14,"DOSTINEX 0,5 mg COMPRIMIDOS","PARLODEL 2,5 mg COMPRIMIDOS","TRACTOCILE 7,5 mg/ml, SOLUCION INYECTABLE",VEOZA 45 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,AGNUCASTON 20 MG COMPRIMIDOS RECUBIERTOS
V09I,14,LOCAMETZ 25 MICROGRAMOS EQUIPO DE REACTIVOS PARA PREPARACION RADIOFARMACEUTICA,ADREVIEW 74 MBq/ml SOLUCION INYECTABLE,BARNASCAN 3000 MBq/ml SOLUCION INYECTABLE,CHOLSCAN 222 MBQ/ML SOLUCION INYECTABLE,CLORURO DE INDIO (111 IN) CURIUM PHARMA SPAIN 370 MBq/ml PRECURSOR RADIOFARMACEUTICO EN SOLUCION
C05C,13,DAFLON 500 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA,DIOSMINA CINFALAB 1.000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,FABROVEN 150 mg/150 mg/100 mg CAPSULAS DURAS,TROXERUTINA CINFALAB 1 g GRANULADO PARA SOLUCION ORAL,VARILIV DIOSMINA FORTE 1.000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
C01B,13,FLECAINIDA NORMON 100 MG COMPRIMIDOS EFG,AMIODARONA AUROVITAS 200 MG COMPRIMIDOS EFG,APOCARD 10 mg/ml SOLUCION INYECTABLE,APOCARD 100 mg COMPRIMIDOS,BIOCORYL 100 MG/ML SOLUCION INYECTABLE
V04C,13,"APULCO ACOMETH 0,3%/0,3%/0,3% GAS COMPRIMIDO MEDICINAL","APULCO COHE 0,28%/9,5% GAS COMPRIMIDO MEDICINAL","APULCO COHEMAX 0,28%/14% GAS COMPRIMIDO MEDICINAL",APULCO HE 9% GAS COMPRIMIDOS MEDICINAL,APULCO HEOXY 9% GAS COMPRIMIDO MEDICINAL
A08A,12,ALLI 60 MG CAPSULAS DURAS,ELIMENS 60 MG CAPSULAS DURAS,NORMOFIT 60 MG CAPSULAS DURAS,NORMOSTAT 120 MG CAPSULAS DURAS,ORLIDUNN 60 MG CAPSULAS DURAS
J01G,12,AMIKACINA NORMON 500 MG/2 ML SOLUCION INYECTABLE Y PARA PERFUSIÓN EFG,BRAMITOB 300 mg/4 ml SOLUCION PARA INHALACION POR NEBULIZADOR,GENTA GOBENS 20 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION,GENTA GOBENS 40 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION,GENTA GOBENS 80 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION
L01D,12,CAELYX PEGYLATED LIPOSOMAL 2 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION,DAUNOBLASTINA 20 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,FARMIBLASTINA 50 mg POLVO PARA SOLUCION INYECTABLE,FARMORUBICINA 2 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION,FARMORUBICINA 50 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION
A03F,12,CINITAPRIDA CINFA 1 MG COMPRIMIDOS EFG,CINITAPRIDA NORMON 1MG COMPRIMIDOS EFG,CINITAPRIDA STADA 1 MG COMPRIMIDOS EFG,BLASTON 1 mg COMPRIMIDOS,CIDINE 1 mg COMPRIMIDOS
P01B,12,DARAPRIM 25 mg COMPRIMIDOS,DUPLAXIL 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,HIDROXICLOROQUINA UXA 200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,"MALARONE PEDIATRICO 62,5 mg/25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",MALARONE 250 mg/100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
V08C,12,"DOTAGRAF 0,5 MMOL/ML SOLUCION INYECTABLE EFG","DOTAGRAF 0,5 MMOL/ML SOLUCION INYECTABLE UNIDOSIS EFG",GADOVIST 1 mmol/ml SOLUCION INYECTABLE EN JERINGA PRECARGADA/ CARTUCHO PRECARGADO,GADOVIST 1 mmol/ml SOLUCION INYECTABLE EN VIAL,"PRIMOVIST 0,25 mmol/ml, SOLUCION INYECTABLE EN JERINGA PRECARGADA"
V08A,12,GASTROGRAFIN 370 MG IODO/ML SOLUCIÓN ORAL Y RECTAL,"ULTRAVIST 240 mg /ml, SOLUCION INYECTABLE Y PARA PERFUSION EN VIAL",ULTRAVIST 300 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION,ULTRAVIST 370 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION,UROGRAFIN 370 MG IODO/ML SOLUCION INYECTABLE Y PARA PERFUSION
S01L,11,AFQLIR 40 MG/ML SOLUCION INYECTABLE EN JERINGA PRECARGADA,"EYLEA 114,3 MG/ML SOLUCION INYECTABLE","EYLEA 114,3 MG/ML SOLUCION INYECTABLE EN JERINGA PRECARGADA",EYLEA 40 MG/ML SOLUCION INYECTABLE EN JERINGA PRECARGADA,EYLEA 40 MG/ML SOLUCION INYECTABLE EN VIAL
G03D,11,DEPO-PROGEVERA 150 mg/ml SUSPENSION INYECTABLE,DIMETRIO 2 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ENDOVELLE 2 MG COMPRIMIDOS EFG,PRIMOLUT-NOR 5 mg COMPRIMIDOS,PROGEVERA 10 mg COMPRIMIDOS
C05B,11,DOXIUM FUERTE 500 mg CAPSULAS DURAS,ETOXISCLEROL 20 mg/ml SOLUCIÓN INYECTABLE,ETOXISCLEROL 30 mg/ml SOLUCIÓN INYECTABLE,ETOXISCLEROL 5 mg/ml SOLUCIÓN INYECTABLE,"HIRUDOID FORTE 4,45 mg/g GEL"
C03B,11,"INDAPAMIDA NORMON 2,5 mg COMPRIMIDOS RECUBIERTOS EFG","INDAPAMIDA RETARD CINFA 1,5 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG","TERTENSIF RETARD 1,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA DE LIBERACION PROLONGADA","TERTENSIF 2,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",DIUREX 20 mg COMPRIMIDOS
A05A,9,ADISOCOL 150 MG COMPRIMIDOS EFG,ADISOCOL 300 MG COMPRIMIDOS EFG,ADISOCOL 450 MG COMPRIMIDOS EFG,ADISOCOL 500 MG CAPSULAS DURAS EFG,BYLVAY 1200 MICROGRAMOS CAPSULAS DURAS
C05A,9,ANTIHEMORROIDAL CINFA POMADA RECTAL,HEMOAL FORTE POMADA RECTAL,HEMOAL POMADA RECTAL,"RECTO MENADERM 0,125 MG/G POMADA RECTAL",TITANOREIN LIDOCAINA CREMA RECTAL
D06A,9,BACTROBAN NASAL 20 mg/g POMADA NASAL,BACTROBAN 20 mg/g pomada,FUCIDINE 20 mg/g CREMA,FUCIDINE 20 mg/g POMADA,PLASIMINE 20 mg/g POMADA
B06A,9,BERINERT 1500 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,BERINERT 500 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION,ICATIBANTO STADA 30 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA EFG,BERINERT 3000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE SUBCUTANEA,CINRYZE 500 UNIDADES POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
G03X,9,CONBRIZA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,RALOXIFENO CINFAMED 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,RALOXIFENO EXELTIS 60 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG,RALOXIFENO STADA 60 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,DANATROL 100 mg CAPSULAS
A07D,9,DIARFIN FLAS 2 MG LIOFILIZADO ORAL,DIARFIN 2 mg CAPSULAS DURAS,FORTASEC FLAS 2 mg LIOFILIZADO ORAL,FORTASEC PLUS 2 mg/ 125 mg COMPRIMIDOS,FORTASEC 2 mg CAPSULAS DURAS
J01A,9,DOXICICLINA NORMON 100 MG COMPRIMIDOS RECUBIERTOS,TIGECICLINA NORMON 50 MG POLVO PARA SOLUCION PARA PERFUSION EFG,TIGECICLINA TECNIGEN 50 MG POLVO PARA SOLUCION PARA PERFUSION EFG,TYGACIL 50 MG POLVO PARA SOLUCION PARA PERFUSION,VIBRACINA 10 mg/ml SUSPENSIÓN ORAL
B05A,9,GELASPAN 40 MG/ML SOLUCION PARA PERFUSION,ALBIOMIN 20% (200 g/L) SOLUCION PARA PERFUSION,ALBUMINA HUMANA CSL BEHRING 200 G/L SOLUCION PARA PERFUSION,"ALBUNORM 20%, 200 g/l SOLUCION PARA PERFUSION","ALBUNORM 5%, 50 g/l SOLUCION PARA PERFUSION"
M03B,9,"LIORESAL 0,05 MG/ML SOLUCIÓN INYECTABLE","LIORESAL 0,5 MG/ML SOLUCIÓN PARA PERFUSIÓN",LIORESAL 10 MG COMPRIMIDOS,LIORESAL 2 MG/ML SOLUCIÓN PARA PERFUSIÓN,LIORESAL 25 mg COMPRIMIDOS
V07A,9,"SUERO FISIOLOGICO BRAUN 0,9% disolvente para uso parenteral",AGUA PARA PREPARACIONES INYECTABLES B.BRAUN DISOLVENTE PARA USO PARENTERAL,AGUA PARA PREPARACIONES INYECTABLES BEXEN DISOLVENTE PARA USO PARENTERAL,AGUA PARA PREPARACIONES INYECTABLES FRESENIUS KABI DISOLVENTE PARA USO PARENTERAL,AGUA PARA PREPARACIONES INYECTABLES SERRA DISOLVENTE PARA USO PARENTERAL
J04A,8,ANSATIPIN 150 MG CÁPSULAS DURAS,CEMIDON B6 150 MG/25 MG COMPRIMIDOS,CEMIDON B6 300 MG/50 MG COMPRIMIDOS,CEMIDON B6 50 MG/15 MG COMPRIMIDOS,CEMIDON 60 MG/ML SOLUCIÓN INYECTABLE
